"","sub","Question","Response","age.cat","game"
"397","8772680","Question_1","No","Adults","Lott-Coop"
"398","8772680","Question_3","No","Adults","Lott-Comp"
"399","8772681","Question_1","Sì","Adults","Lott-Coop"
"400","8772681","Question_3","No","Adults","Lott-Comp"
"401","8766945","Question_1","Sì","Adults","Lott-Coop"
"402","8766945","Question_3","Sì","Adults","Lott-Comp"
"403","8766950","Question_1","Non so","Adults","Lott-Coop"
"404","8766950","Question_3","No","Adults","Lott-Comp"
"405","8766972","Question_1","No","Adults","Lott-Coop"
"406","8766972","Question_3","Sì","Adults","Lott-Comp"
"407","8766952","Question_1","Sì","Adults","Lott-Coop"
"408","8766952","Question_3","Sì","Adults","Lott-Comp"
"409","8766951","Question_1","Sì","Adults","Lott-Coop"
"410","8766951","Question_3","No","Adults","Lott-Comp"
"411","8766948","Question_1","Sì","Adults","Lott-Coop"
"412","8766948","Question_3","Sì","Adults","Lott-Comp"
"413","8766944","Question_1","Non so","Adults","Lott-Coop"
"414","8766944","Question_3","Non so","Adults","Lott-Comp"
"415","8766943","Question_1","No","Adults","Lott-Coop"
"416","8766943","Question_3","No","Adults","Lott-Comp"
"417","8766946","Question_1","Non so","Adults","Lott-Coop"
"418","8766946","Question_3","No","Adults","Lott-Comp"
"419","8766947","Question_1","No","Adults","Lott-Coop"
"420","8766947","Question_3","Sì","Adults","Lott-Comp"
"421","8766702","Question_1","Sì","Adults","Lott-Coop"
"422","8766702","Question_3","Non so","Adults","Lott-Comp"
"423","8766703","Question_1","Sì","Adults","Lott-Coop"
"424","8766703","Question_3","No","Adults","Lott-Comp"
"425","8766696","Question_1","Sì","Adults","Lott-Coop"
"426","8766696","Question_3","Sì","Adults","Lott-Comp"
"427","8766701","Question_1","Sì","Adults","Lott-Coop"
"428","8766701","Question_3","Sì","Adults","Lott-Comp"
"429","8766705","Question_1","Sì","Adults","Lott-Coop"
"430","8766705","Question_3","Sì","Adults","Lott-Comp"
"431","8766697","Question_1","No","Adults","Lott-Coop"
"432","8766697","Question_3","Sì","Adults","Lott-Comp"
"433","8766704","Question_1","Sì","Adults","Lott-Coop"
"434","8766704","Question_3","Sì","Adults","Lott-Comp"
"435","8766699","Question_1","No","Adults","Lott-Coop"
"436","8766699","Question_3","No","Adults","Lott-Comp"
"437","8766698","Question_1","Sì","Adults","Lott-Coop"
"438","8766698","Question_3","Sì","Adults","Lott-Comp"
"439","8766700","Question_1","Sì","Adults","Lott-Coop"
"440","8766700","Question_3","Sì","Adults","Lott-Comp"
"441","8765802","Question_1","Sì","Adults","Lott-Coop"
"442","8765802","Question_3","Sì","Adults","Lott-Comp"
"443","8765800","Question_1","Sì","Adults","Lott-Coop"
"444","8765800","Question_3","Sì","Adults","Lott-Comp"
"445","8758719","Question_1","No","Adults","Lott-Coop"
"446","8758719","Question_3","No","Adults","Lott-Comp"
"447","8758610","Question_1","Sì","Adults","Lott-Coop"
"448","8758610","Question_3","Sì","Adults","Lott-Comp"
"449","8758613","Question_1","Sì","Adults","Lott-Coop"
"450","8758613","Question_3","No","Adults","Lott-Comp"
"451","8758611","Question_1","Sì","Adults","Lott-Coop"
"452","8758611","Question_3","Sì","Adults","Lott-Comp"
"453","8758609","Question_1","Sì","Adults","Lott-Coop"
"454","8758609","Question_3","Sì","Adults","Lott-Comp"
"455","8750281","Question_1","Sì","Adults","Lott-Coop"
"456","8750281","Question_3","Sì","Adults","Lott-Comp"
"457","8750278","Question_1","Sì","Adults","Lott-Coop"
"458","8750278","Question_3","No","Adults","Lott-Comp"
"459","8750033","Question_1","No","Adults","Lott-Coop"
"460","8750033","Question_3","No","Adults","Lott-Comp"
"461","8750031","Question_1","No","Adults","Lott-Coop"
"462","8750031","Question_3","No","Adults","Lott-Comp"
"463","8750034","Question_1","Sì","Adults","Lott-Coop"
"464","8750034","Question_3","Sì","Adults","Lott-Comp"
"465","8743740","Question_1","Sì","Adults","Lott-Coop"
"466","8743740","Question_3","Non so","Adults","Lott-Comp"
"467","8743741","Question_1","Sì","Adults","Lott-Coop"
"468","8743741","Question_3","Sì","Adults","Lott-Comp"
"469","8743738","Question_1","Sì","Adults","Lott-Coop"
"470","8743738","Question_3","No","Adults","Lott-Comp"
"471","8743736","Question_1","Sì","Adults","Lott-Coop"
"472","8743736","Question_3","No","Adults","Lott-Comp"
"473","8743737","Question_1","No","Adults","Lott-Coop"
"474","8743737","Question_3","No","Adults","Lott-Comp"
"475","8728607","Question_1","No","Adults","Lott-Coop"
"476","8728607","Question_3","No","Adults","Lott-Comp"
"477","8728577","Question_1","Sì","Adults","Lott-Coop"
"478","8728577","Question_3","Sì","Adults","Lott-Comp"
"479","8728615","Question_1","No","Adults","Lott-Coop"
"480","8728615","Question_3","No","Adults","Lott-Comp"
"481","8728576","Question_1","Sì","Adults","Lott-Coop"
"482","8728576","Question_3","No","Adults","Lott-Comp"
"483","8728567","Question_1","Sì","Adults","Lott-Coop"
"484","8728567","Question_3","No","Adults","Lott-Comp"
"485","8728573","Question_1","Sì","Adults","Lott-Coop"
"486","8728573","Question_3","Sì","Adults","Lott-Comp"
"487","8728622","Question_1","Sì","Adults","Lott-Coop"
"488","8728622","Question_3","Sì","Adults","Lott-Comp"
"489","8728634","Question_1","Sì","Adults","Lott-Coop"
"490","8728634","Question_3","Sì","Adults","Lott-Comp"
"491","8728583","Question_1","Sì","Adults","Lott-Coop"
"492","8728583","Question_3","Sì","Adults","Lott-Comp"
"493","8728621","Question_1","Sì","Adults","Lott-Coop"
"494","8728621","Question_3","No","Adults","Lott-Comp"
"495","8728568","Question_1","Sì","Adults","Lott-Coop"
"496","8728568","Question_3","Sì","Adults","Lott-Comp"
"497","8728623","Question_1","Sì","Adults","Lott-Coop"
"498","8728623","Question_3","Non so","Adults","Lott-Comp"
"499","8728589","Question_1","No","Adults","Lott-Coop"
"500","8728589","Question_3","No","Adults","Lott-Comp"
"501","8728565","Question_1","No","Adults","Lott-Coop"
"502","8728565","Question_3","No","Adults","Lott-Comp"
"503","8728572","Question_1","Sì","Adults","Lott-Coop"
"504","8728572","Question_3","Sì","Adults","Lott-Comp"
"505","8728574","Question_1","No","Adults","Lott-Coop"
"506","8728574","Question_3","No","Adults","Lott-Comp"
"507","8728578","Question_1","Sì","Adults","Lott-Coop"
"508","8728578","Question_3","No","Adults","Lott-Comp"
"509","8728582","Question_1","No","Adults","Lott-Coop"
"510","8728582","Question_3","No","Adults","Lott-Comp"
"511","8728588","Question_1","No","Adults","Lott-Coop"
"512","8728588","Question_3","No","Adults","Lott-Comp"
"513","8728654","Question_1","Sì","Adults","Lott-Coop"
"514","8728654","Question_3","Sì","Adults","Lott-Comp"
"515","8728566","Question_1","No","Adults","Lott-Coop"
"516","8728566","Question_3","Sì","Adults","Lott-Comp"
"517","8728579","Question_1","Sì","Adults","Lott-Coop"
"518","8728579","Question_3","No","Adults","Lott-Comp"
"519","8728631","Question_1","No","Adults","Lott-Coop"
"520","8728631","Question_3","No","Adults","Lott-Comp"
"521","8728624","Question_1","No","Adults","Lott-Coop"
"522","8728624","Question_3","Sì","Adults","Lott-Comp"
"523","8728587","Question_1","No","Adults","Lott-Coop"
"524","8728587","Question_3","No","Adults","Lott-Comp"
"525","8728575","Question_1","No","Adults","Lott-Coop"
"526","8728575","Question_3","Sì","Adults","Lott-Comp"
"527","8728571","Question_1","No","Adults","Lott-Coop"
"528","8728571","Question_3","No","Adults","Lott-Comp"
"529","8728625","Question_1","Sì","Adults","Lott-Coop"
"530","8728625","Question_3","Sì","Adults","Lott-Comp"
"531","8728569","Question_1","Sì","Adults","Lott-Coop"
"532","8728569","Question_3","Sì","Adults","Lott-Comp"
"533","8728570","Question_1","No","Adults","Lott-Coop"
"534","8728570","Question_3","No","Adults","Lott-Comp"
"535","8728610","Question_1","Sì","Adults","Lott-Coop"
"536","8728610","Question_3","No","Adults","Lott-Comp"
"537","8728585","Question_1","Sì","Adults","Lott-Coop"
"538","8728585","Question_3","Sì","Adults","Lott-Comp"
"539","8728581","Question_1","No","Adults","Lott-Coop"
"540","8728581","Question_3","Sì","Adults","Lott-Comp"
"541","8728586","Question_1","No","Adults","Lott-Coop"
"542","8728586","Question_3","Sì","Adults","Lott-Comp"
"543","8722110","Question_1","Sì","Adults","Lott-Coop"
"544","8722110","Question_3","Sì","Adults","Lott-Comp"
"545","8722108","Question_1","Sì","Adults","Lott-Coop"
"546","8722108","Question_3","Non so","Adults","Lott-Comp"
"547","8722109","Question_1","No","Adults","Lott-Coop"
"548","8722109","Question_3","No","Adults","Lott-Comp"
"549","8716022","Question_1","Sì","Adults","Lott-Coop"
"550","8716022","Question_3","Sì","Adults","Lott-Comp"
"551","8716020","Question_1","No","Adults","Lott-Coop"
"552","8716020","Question_3","No","Adults","Lott-Comp"
"553","8624087","Question_1","Sì","Adults","Lott-Coop"
"554","8624087","Question_3","Sì","Adults","Lott-Comp"
"555","8624094","Question_1","Sì","Adults","Lott-Coop"
"556","8624094","Question_3","Non so","Adults","Lott-Comp"
"557","8624022","Question_1","Sì","Adults","Lott-Coop"
"558","8624022","Question_3","No","Adults","Lott-Comp"
"559","8624006","Question_1","Sì","Adults","Lott-Coop"
"560","8624006","Question_3","Sì","Adults","Lott-Comp"
"561","8624028","Question_1","Sì","Adults","Lott-Coop"
"562","8624028","Question_3","Sì","Adults","Lott-Comp"
"563","8624051","Question_1","No","Adults","Lott-Coop"
"564","8624051","Question_3","Sì","Adults","Lott-Comp"
"565","8624035","Question_1","Sì","Adults","Lott-Coop"
"566","8624035","Question_3","No","Adults","Lott-Comp"
"567","8624043","Question_1","Sì","Adults","Lott-Coop"
"568","8624043","Question_3","Sì","Adults","Lott-Comp"
"569","8624077","Question_1","Sì","Adults","Lott-Coop"
"570","8624077","Question_3","Sì","Adults","Lott-Comp"
"571","8624045","Question_1","Sì","Adults","Lott-Coop"
"572","8624045","Question_3","Non so","Adults","Lott-Comp"
"573","8624054","Question_1","Sì","Adults","Lott-Coop"
"574","8624054","Question_3","Sì","Adults","Lott-Comp"
"575","8624093","Question_1","Non so","Adults","Lott-Coop"
"576","8624093","Question_3","No","Adults","Lott-Comp"
"577","8624059","Question_1","No","Adults","Lott-Coop"
"578","8624059","Question_3","Sì","Adults","Lott-Comp"
"579","8624040","Question_1","Sì","Adults","Lott-Coop"
"580","8624040","Question_3","Sì","Adults","Lott-Comp"
"581","8624088","Question_1","Sì","Adults","Lott-Coop"
"582","8624088","Question_3","Sì","Adults","Lott-Comp"
"583","8624001","Question_1","Sì","Adults","Lott-Coop"
"584","8624001","Question_3","No","Adults","Lott-Comp"
"585","8624052","Question_1","Sì","Adults","Lott-Coop"
"586","8624052","Question_3","Non so","Adults","Lott-Comp"
"587","8624009","Question_1","Sì","Adults","Lott-Coop"
"588","8624009","Question_3","Sì","Adults","Lott-Comp"
"589","8624003","Question_1","Sì","Adults","Lott-Coop"
"590","8624003","Question_3","No","Adults","Lott-Comp"
"591","8624063","Question_1","Sì","Adults","Lott-Coop"
"592","8624063","Question_3","Sì","Adults","Lott-Comp"
"593","8624062","Question_1","Sì","Adults","Lott-Coop"
"594","8624062","Question_3","Sì","Adults","Lott-Comp"
"595","8624046","Question_1","Sì","Adults","Lott-Coop"
"596","8624046","Question_3","Sì","Adults","Lott-Comp"
"597","8624170","Question_1","Sì","Adults","Lott-Coop"
"598","8624170","Question_3","Non so","Adults","Lott-Comp"
"599","8624204","Question_1","Sì","Adults","Lott-Coop"
"600","8624204","Question_3","Non so","Adults","Lott-Comp"
"601","8624064","Question_1","Sì","Adults","Lott-Coop"
"602","8624064","Question_3","No","Adults","Lott-Comp"
"603","8624018","Question_1","Sì","Adults","Lott-Coop"
"604","8624018","Question_3","No","Adults","Lott-Comp"
"605","8624065","Question_1","No","Adults","Lott-Coop"
"606","8624065","Question_3","No","Adults","Lott-Comp"
"607","8624109","Question_1","Sì","Adults","Lott-Coop"
"608","8624109","Question_3","Non so","Adults","Lott-Comp"
"609","8624050","Question_1","Sì","Adults","Lott-Coop"
"610","8624050","Question_3","No","Adults","Lott-Comp"
"611","8624027","Question_1","Sì","Adults","Lott-Coop"
"612","8624027","Question_3","Non so","Adults","Lott-Comp"
"613","8624068","Question_1","Sì","Adults","Lott-Coop"
"614","8624068","Question_3","No","Adults","Lott-Comp"
"615","8624014","Question_1","No","Adults","Lott-Coop"
"616","8624014","Question_3","No","Adults","Lott-Comp"
"617","8623993","Question_1","Sì","Adults","Lott-Coop"
"618","8623993","Question_3","Sì","Adults","Lott-Comp"
"619","8624066","Question_1","No","Adults","Lott-Coop"
"620","8624066","Question_3","No","Adults","Lott-Comp"
"621","8624019","Question_1","Sì","Adults","Lott-Coop"
"622","8624019","Question_3","Sì","Adults","Lott-Comp"
"623","8624030","Question_1","Sì","Adults","Lott-Coop"
"624","8624030","Question_3","Sì","Adults","Lott-Comp"
"625","8624122","Question_1","Sì","Adults","Lott-Coop"
"626","8624122","Question_3","No","Adults","Lott-Comp"
"627","8624015","Question_1","Sì","Adults","Lott-Coop"
"628","8624015","Question_3","Sì","Adults","Lott-Comp"
