"","sub","mean_mars","version"
"2310","8624045",0.8125,"ver1"
"24","8624046",1,"ver1"
"2510","8624050",0.875,"ver1"
"2610","8624051",0.875,"ver1"
"2710","8624052",0.875,"ver1"
"287","8624054",0.625,"ver1"
"291","8624057",0.9375,"ver1"
"301","8624058",1,"ver1"
"311","8624063",0.9375,"ver1"
"321","8624064",0.875,"ver1"
"331","8624065",0.9375,"ver1"
"341","8624066",0.375,"ver1"
"35","8624067",0.8125,"ver1"
"36","8624072",0.9375,"ver1"
"37","8624073",0.875,"ver1"
"381","8624078",1,"ver1"
"391","8624087",1,"ver1"
"401","8624091",0.8125,"ver1"
"411","8624092",0.8125,"ver1"
"42","8624094",0.9375,"ver1"
"431","8624097",1,"ver1"
"44","8624109",0.8125,"ver1"
"45","8624113",0.9375,"ver1"
"46","8624142",0.1875,"ver1"
"471","8624144",1,"ver1"
"481","8624156",1,"ver1"
"491","8624173",0.9375,"ver1"
"50","8624179",0.75,"ver1"
"51","8716022",0.9375,"ver1"
"521","8722109",0.625,"ver1"
"53","8722110",0.9375,"ver1"
"541","8728565",0.875,"ver1"
"55","8728571",0.875,"ver1"
"561","8728572",0.75,"ver1"
"57","8728573",1,"ver1"
"581","8728574",1,"ver1"
"591","8728578",0.8125,"ver1"
"601","8728581",0.9375,"ver1"
"611","8728583",0.875,"ver1"
"621","8728585",0.6875,"ver1"
"631","8728586",0.9375,"ver1"
"64","8728589",0.5,"ver1"
"651","8728607",0.9375,"ver1"
"66","8728615",0.75,"ver1"
"671","8728621",0.9375,"ver1"
"681","8728624",1,"ver1"
"691","8728634",0.5625,"ver1"
"701","8743737",0.8125,"ver1"
"711","8743738",0.8125,"ver1"
"721","8743741",1,"ver1"
"731","8750033",0.625,"ver1"
"741","8750278",0.5,"ver1"
"751","8750281",0.9375,"ver1"
"761","8756676",0.6875,"ver1"
"771","8756708",0.9375,"ver1"
"781","8758610",1,"ver1"
"79","8758613",0.4375,"ver1"
"801","8765800",0.8125,"ver1"
"811","8766696",0.5625,"ver1"
"821","8766697",0.8125,"ver1"
"83","8766700",1,"ver1"
"841","8766701",0.8125,"ver1"
"851","8766704",1,"ver1"
"861","8766943",1,"ver1"
"871","8766945",0.8125,"ver1"
"88","8766946",0.625,"ver1"
"89","8766948",0.875,"ver1"
"901","8766951",0.75,"ver1"
"911","8616932",0.875,"ver1"
"921","8623992",1,"ver1"
"93","8623993",1,"ver1"
"941","8623995",0.625,"ver1"
"951","8623996",0.733333333333333,"ver1"
"961","8623999",0.8125,"ver1"
"971","8624001",0.9375,"ver1"
"981","8624002",0.933333333333333,"ver1"
"991","8624003",0.9375,"ver1"
"1001","8624004",1,"ver1"
"1011","8624009",0.9375,"ver1"
"1021","8624011",0.625,"ver1"
"103","8624012",0.9375,"ver1"
"1041","8624016",1,"ver1"
"1051","8624017",1,"ver1"
"1061","8624018",0.8125,"ver1"
"1071","8624019",1,"ver1"
"108","8624021",0.8125,"ver1"
"1091","8624022",0.733333333333333,"ver1"
"110","8624023",0.375,"ver1"
"1111","8624025",1,"ver1"
"1121","8624026",0.875,"ver1"
"1131","8624027",0.875,"ver1"
"1141","8624028",0.875,"ver1"
"1151","8624029",0.8125,"ver1"
"116","8624031",0.9375,"ver1"
"1171","8624033",1,"ver1"
"1181","8624034",0.8125,"ver1"
"119","8624037",0.9375,"ver1"
"1201","8624039",0.9375,"ver1"
"1211","8624043",1,"ver1"
"1221","8624044",0.6875,"ver1"
"1231","8624048",0.75,"ver1"
"124","8624053",0.785714285714286,"ver1"
"1251","8624055",0.933333333333333,"ver1"
"1261","8624056",1,"ver1"
"1271","8624059",0.866666666666667,"ver1"
"1281","8624062",0.9375,"ver1"
"1291","8624068",0.625,"ver1"
"1301","8624069",1,"ver1"
"1311","8624070",0.6875,"ver1"
"1321","8624074",0.75,"ver1"
"1331","8624077",1,"ver1"
"1341","8624088",1,"ver1"
"1351","8624093",0.875,"ver1"
"1361","8624117",0.4375,"ver1"
"1371","8624122",1,"ver1"
"1381","8624170",0.866666666666667,"ver1"
"1391","8624204",1,"ver1"
"1401","8716020",1,"ver1"
"1411","8722108",0.933333333333333,"ver1"
"1421","8728566",0.8125,"ver1"
"1431","8728567",1,"ver1"
"1441","8728568",0.875,"ver1"
"145","8728569",0.9375,"ver1"
"146","8728570",0.5625,"ver1"
"147","8728575",1,"ver1"
"1481","8728576",0.866666666666667,"ver1"
"149","8728577",0.875,"ver1"
"150","8728579",1,"ver1"
"1511","8728582",0.933333333333333,"ver1"
"1521","8728587",1,"ver1"
"1531","8728588",0.9375,"ver1"
"1541","8728610",0.8125,"ver1"
"155","8728622",0.9375,"ver1"
"156","8728623",0.9375,"ver1"
"1571","8728625",0.9375,"ver1"
"1581","8728631",0.666666666666667,"ver1"
"1591","8728654",0.785714285714286,"ver1"
"1601","8743736",0.875,"ver1"
"1611","8743740",1,"ver1"
"1621","8750031",0.5,"ver1"
"1631","8750034",0.9375,"ver1"
"1641","8750275",0.4375,"ver1"
"1651","8756704",0.6875,"ver1"
"1661","8758609",0.875,"ver1"
"1671","8758611",1,"ver1"
"1681","8758719",0.5,"ver1"
"1691","8765802",1,"ver1"
"1701","8766698",1,"ver1"
"171","8766699",0.857142857142857,"ver1"
"1721","8766702",0.933333333333333,"ver1"
"1731","8766703",1,"ver1"
"1741","8766705",0.866666666666667,"ver1"
"1751","8766944",0.625,"ver1"
"1761","8766947",0.875,"ver1"
"1771","8766950",0.9375,"ver1"
"178","8766952",0.5,"ver1"
"1791","8766972",0.4375,"ver1"
"1801","9818103",0.6875,"ver2"
"181","9818105",0.8125,"ver2"
"1821","9818106",0.75,"ver2"
"1831","9818109",0.5,"ver2"
"1841","9818115",0.5,"ver2"
"1851","9818116",0.5625,"ver2"
"1861","9818117",0.8125,"ver2"
"1871","9818119",0.375,"ver2"
"1881","9818120",1,"ver2"
"1891","9818121",0.625,"ver2"
"1901","9818123",0.875,"ver2"
"1911","9818124",0.4375,"ver2"
"192","9818127",1,"ver2"
"1931","9818131",0.6875,"ver2"
"1941","9818136",0.625,"ver2"
"1951","9818137",0.875,"ver2"
"196","9818140",0.75,"ver2"
"1971","9818143",0.6875,"ver2"
"1981","9818144",0.625,"ver2"
"199","9818146",0.6875,"ver2"
"2001","9818147",0.5625,"ver2"
"2011","9818148",0.375,"ver2"
"2021","9818150",0.875,"ver2"
"203","9818152",0.5625,"ver2"
"204","9818155",0.625,"ver2"
"2051","9818157",0.5625,"ver2"
"2061","9818160",0.625,"ver2"
"2071","9818161",0.625,"ver2"
"2081","9818166",0.8125,"ver2"
"2091","9818167",0.625,"ver2"
"2101","9818168",0.9375,"ver2"
"2111","9818170",0.75,"ver2"
"2121","9818174",0.875,"ver2"
"213","9818175",0.625,"ver2"
"2141","9818176",0.8125,"ver2"
"2151","9818178",0.25,"ver2"
"216","9818179",0.625,"ver2"
"217","9818193",0.75,"ver2"
"2181","9818200",0.4375,"ver2"
"2191","9818216",0.5625,"ver2"
"2201","9818256",0.875,"ver2"
"2211","9859701",0.8125,"ver2"
"2221","9859706",0.6875,"ver2"
"2231","9859707",0.6875,"ver2"
"2241","9859709",0.75,"ver2"
"225","9859710",0.5625,"ver2"
"2261","9859711",0.8125,"ver2"
"2271","9859712",0.6875,"ver2"
"228","9859713",0.5625,"ver2"
"2291","9859716",0.6875,"ver2"
"2301","9859722",0.4375,"ver2"
"2311","9864881",0.625,"ver2"
"232","9864889",0.75,"ver2"
"2331","9865052",0.75,"ver2"
"234","9818104",0.875,"ver2"
"235","9818107",0.5,"ver2"
"236","9818108",0.6875,"ver2"
"237","9818110",0.6875,"ver2"
"238","9818111",0.8125,"ver2"
"239","9818113",0.75,"ver2"
"240","9818114",1,"ver2"
"241","9818122",0.875,"ver2"
"242","9818125",0.6875,"ver2"
"243","9818126",0.375,"ver2"
"244","9818128",0.9375,"ver2"
"245","9818129",0.625,"ver2"
"246","9818130",0.875,"ver2"
"247","9818132",0.6875,"ver2"
"248","9818133",1,"ver2"
"249","9818134",0.75,"ver2"
"250","9818135",0.8125,"ver2"
"251","9818138",0.75,"ver2"
"252","9818139",0.4375,"ver2"
"253","9818141",0.875,"ver2"
"254","9818142",0.9375,"ver2"
"255","9818145",0.6875,"ver2"
"256","9818149",0.375,"ver2"
"257","9818151",0.75,"ver2"
