"","sub","game","Screen","rt","trial","Object.Name","sp","left.column","right.column","rt.out","left.response","right.response","answer","response","switch","payoff"
"113",9818105,"coordination","trial",2383,8,"right",13,"15soloseinsieme.png","13.png",0,"UP","SP","SP",0,1,13
"114",9818105,"coordination","trial",6468,9,"right",10,"15soloseinsieme.png","10.png",0,"UP","SP","SP",0,1,10
"115",9818105,"coordination","trial",2085,10,"left",1,"15soloseinsieme.png","1.png",0,"UP","SP","UP",1,NA,14.4339622641509
"116",9818105,"coordination","trial",2535,11,"right",3,"3.png","15soloseinsieme.png",0,"SP","UP","UP",1,0,14.0094339622642
"117",9818105,"coordination","trial",8038,12,"left",4,"15soloseinsieme.png","4.png",0,"UP","SP","UP",1,0,13.8679245283019
"118",9818105,"coordination","trial",2282,13,"left",14,"14.png","15soloseinsieme.png",0,"SP","UP","SP",0,0,14
"119",9818105,"coordination","trial",2366,14,"right",11,"15soloseinsieme.png","11.png",0,"UP","SP","SP",0,0,11
"120",9818105,"coordination","trial",2801,15,"right",8,"15soloseinsieme.png","8.png",0,"UP","SP","SP",0,1,8
"121",9818105,"competition","trial",4203,1,"right",4,"4.png","15solosesoli.png",0,"SP","UP","UP",1,0,7.21698113207547
"122",9818105,"competition","trial",2084,2,"right",8,"15solosesoli.png","8.png",0,"UP","SP","SP",0,0,8
"123",9818105,"competition","trial",1885,3,"left",13,"13.png","15solosesoli.png",0,"SP","UP","SP",0,0,13
"124",9818105,"competition","trial",1418,4,"left",10,"10.png","15solosesoli.png",0,"SP","UP","SP",0,0,10
"125",9818105,"competition","trial",2018,5,"right",5,"5.png","15solosesoli.png",0,"SP","UP","UP",1,0,8.63207547169811
"126",9818105,"competition","trial",1883,6,"right",6,"15solosesoli.png","6.png",0,"UP","SP","SP",0,1,6
"127",9818105,"competition","trial",2368,7,"right",12,"15solosesoli.png","12.png",0,"UP","SP","SP",0,0,12
"128",9818105,"competition","trial",2218,8,"left",14,"14.png","15solosesoli.png",0,"SP","UP","SP",0,0,14
"129",9818105,"competition","trial",2032,9,"left",11,"11.png","15solosesoli.png",0,"SP","UP","SP",0,0,11
"130",9818105,"competition","trial",8986,10,"right",9,"15solosesoli.png","9.png",0,"UP","SP","SP",0,0,9
"131",9818105,"competition","trial",5452,11,"left",2,"15solosesoli.png","2.png",0,"UP","SP","UP",1,0,6.36792452830189
"132",9818105,"competition","trial",1650,12,"left",3,"15solosesoli.png","3.png",0,"UP","SP","UP",1,0,6.36792452830189
"133",9818105,"competition","trial",1432,13,"right",1,"1.png","15solosesoli.png",0,"SP","UP","UP",1,NA,6.36792452830189
"134",9818105,"competition","trial",15574,14,"left",7,"7.png","15solosesoli.png",1,"SP","UP","SP",0,0,7
"135",9818105,"competition","trial",1382,15,"right",15,"15solosesoli.png","15.png",0,"UP","SP","SP",0,0,15
"136",9818106,"coordination","trial",5007.05,1,"right",8,"8.png","15soloseinsieme.png",0,"SP","UP","UP",1,0,10.8962264150943
"137",9818106,"coordination","trial",6490.36400000596,2,"left",11,"15soloseinsieme.png","11.png",0,"UP","SP","UP",1,0,7.21698113207547
"138",9818106,"coordination","trial",3999.115,3,"left",5,"15soloseinsieme.png","5.png",0,"UP","SP","UP",1,0,13.8679245283019
"139",9818106,"coordination","trial",2683.333,4,"left",14,"15soloseinsieme.png","14.png",0,"UP","SP","UP",1,0,5.23584905660377
"140",9818106,"coordination","trial",1714.18200000298,5,"left",7,"15soloseinsieme.png","7.png",0,"UP","SP","UP",1,0,11.6037735849057
"141",9818106,"coordination","trial",1997.93600000298,6,"left",9,"15soloseinsieme.png","9.png",0,"UP","SP","UP",1,0,10.0471698113208
"142",9818106,"coordination","trial",2083.333,7,"left",13,"15soloseinsieme.png","13.png",0,"UP","SP","UP",1,0,5.94339622641509
"143",9818106,"coordination","trial",2273.84900000596,8,"right",6,"6.png","15soloseinsieme.png",0,"SP","UP","UP",1,0,13.0188679245283
"144",9818106,"coordination","trial",1923.57099999702,9,"left",1,"15soloseinsieme.png","1.png",0,"UP","SP","UP",1,NA,14.4339622641509
"145",9818106,"coordination","trial",1574.98899999999,10,"left",3,"15soloseinsieme.png","3.png",0,"UP","SP","UP",1,0,14.0094339622642
"146",9818106,"coordination","trial",2348.05700000298,11,"left",2,"15soloseinsieme.png","2.png",0,"UP","SP","UP",1,0,14.4339622641509
"147",9818106,"coordination","trial",1883.34,12,"left",12,"15soloseinsieme.png","12.png",0,"UP","SP","UP",1,0,7.07547169811321
"148",9818106,"coordination","trial",1693.97000000596,13,"left",15,"15soloseinsieme.png","15.png",0,"UP","SP","UP",1,0,3.82075471698113
"149",9818106,"coordination","trial",1391.26600000596,14,"left",4,"15soloseinsieme.png","4.png",0,"UP","SP","UP",1,0,13.8679245283019
"150",9818106,"coordination","trial",1405.052,15,"right",10,"10.png","15soloseinsieme.png",0,"SP","UP","UP",1,0,7.78301886792453
"151",9818106,"lottery","trial",10358.374,1,"right",7,"7.png","15soloseacaso.png",0,"SP","UP","UP",1,0,7.5
"152",9818106,"lottery","trial",3358.345,2,"left",15,"15.png","15soloseacaso.png",0,"SP","UP","SP",0,0,15
"153",9818106,"lottery","trial",4666.68400000001,3,"right",5,"5.png","15soloseacaso.png",0,"SP","UP","UP",1,0,7.5
"154",9818106,"lottery","trial",2408.34899999999,4,"left",3,"15soloseacaso.png","3.png",0,"UP","SP","UP",1,0,7.5
"155",9818106,"lottery","trial",1650.00600000001,5,"right",9,"15soloseacaso.png","9.png",0,"UP","SP","SP",0,0,9
"156",9818106,"lottery","trial",2045.01499999702,6,"left",2,"15soloseacaso.png","2.png",0,"UP","SP","UP",1,0,7.5
"157",9818106,"lottery","trial",2191.674,7,"left",11,"11.png","15soloseacaso.png",0,"SP","UP","SP",0,0,11
"158",9818106,"lottery","trial",1571.198,8,"right",13,"15soloseacaso.png","13.png",0,"UP","SP","SP",0,0,13
"159",9818106,"lottery","trial",1283.342,9,"right",12,"15soloseacaso.png","12.png",0,"UP","SP","SP",0,0,12
"160",9818106,"lottery","trial",1923.81199999702,10,"left",14,"14.png","15soloseacaso.png",0,"SP","UP","SP",0,0,14
"161",9818106,"lottery","trial",1585.91700000894,11,"right",10,"15soloseacaso.png","10.png",0,"UP","SP","SP",0,0,10
"162",9818106,"lottery","trial",4933.348,12,"left",6,"15soloseacaso.png","6.png",0,"UP","SP","UP",1,0,7.5
"163",9818106,"lottery","trial",1010.76599999702,13,"right",4,"4.png","15soloseacaso.png",0,"SP","UP","UP",1,0,7.5
"164",9818106,"lottery","trial",1272.03500000596,14,"left",8,"8.png","15soloseacaso.png",0,"SP","UP","SP",0,1,8
"165",9818106,"lottery","trial",1265.19499999702,15,"left",1,"15soloseacaso.png","1.png",0,"UP","SP","UP",1,NA,7.5
"166",9818106,"competition","trial",11524.514,1,"right",2,"15solosesoli.png","2.png",0,"UP","SP","SP",0,0,2
"167",9818106,"competition","trial",3130.60199999702,2,"left",3,"15solosesoli.png","3.png",0,"UP","SP","UP",1,1,6.36792452830189
"168",9818106,"competition","trial",5685.39400000894,3,"right",5,"5.png","15solosesoli.png",0,"SP","UP","UP",1,0,8.63207547169811
"169",9818106,"competition","trial",1974.62500000297,4,"right",11,"11.png","15solosesoli.png",0,"SP","UP","UP",1,1,11.1792452830189
"170",9818106,"competition","trial",2864.05699999703,5,"right",6,"15solosesoli.png","6.png",0,"UP","SP","SP",0,1,6
"171",9818106,"competition","trial",5100.019,6,"right",15,"15solosesoli.png","15.png",0,"UP","SP","SP",0,0,15
"172",9818106,"competition","trial",15180.623999997,7,"left",12,"15solosesoli.png","12.png",1,"UP","SP","UP",1,0,11.1792452830189
"173",9818106,"competition","trial",7631.86600000298,8,"left",10,"10.png","15solosesoli.png",0,"SP","UP","SP",0,0,10
"174",9818106,"competition","trial",814.133999999991,9,"right",8,"15solosesoli.png","8.png",0,"UP","SP","SP",0,1,8
"175",9818106,"competition","trial",12206.696000006,10,"left",14,"14.png","15solosesoli.png",0,"SP","UP","SP",0,0,14
"176",9818106,"competition","trial",13237.948000003,11,"left",1,"1.png","15solosesoli.png",1,"SP","UP","SP",0,NA,1
"177",9818106,"competition","trial",12908.38,12,"left",4,"15solosesoli.png","4.png",1,"UP","SP","UP",1,0,7.21698113207547
"178",9818106,"competition","trial",2432.81299999999,13,"right",7,"7.png","15solosesoli.png",0,"SP","UP","UP",1,1,9.90566037735849
"179",9818106,"competition","trial",2925.01299999998,14,"left",9,"9.png","15solosesoli.png",0,"SP","UP","SP",0,0,9
"180",9818106,"competition","trial",987.428999997035,15,"left",13,"13.png","15solosesoli.png",0,"SP","UP","SP",0,1,13
"181",9818110,"competition","trial",16106.708,1,"left",9,"15solosesoli.png","9.png",1,"UP","SP","UP",1,0,11.6037735849057
