"","sub","game","Screen","rt","trial","Object.Name","sp","left.column","right.column","rt.out","left.response","right.response","answer","response","switch","payoff"
"376",10933692,"competition","trial",8192.79999990464,14,"right",15,"15solosesoli.png","15.png",0,"UP","SP","SP",0,0,15
"378",10933692,"competition","trial",10278.6999999285,15,"right",5,"15solosesoli.png","5.png",1,"UP","SP","SP",0,0,5
"383",10933692,"lottery","trial",10835.1,1,"right",6,"15soloseacaso.png","6.png",1,"UP","SP","SP",0,0,6
"385",10933692,"lottery","trial",19680.2,2,"left",13,"13.png","15soloseacaso.png",1,"SP","UP","SP",0,0,13
"387",10933692,"lottery","trial",2860.0999999285,3,"right",3,"15soloseacaso.png","3.png",0,"UP","SP","SP",0,0,3
"389",10933692,"lottery","trial",8092.49999992846,4,"left",9,"9.png","15soloseacaso.png",0,"SP","UP","SP",0,0,9
"391",10933692,"lottery","trial",5384.99999992846,5,"right",4,"15soloseacaso.png","4.png",0,"UP","SP","SP",0,0,4
"393",10933692,"lottery","trial",2250.19999999995,6,"right",1,"15soloseacaso.png","1.png",0,"UP","SP","SP",0,NA,1
"395",10933692,"lottery","trial",4223.89999990462,7,"left",7,"7.png","15soloseacaso.png",0,"SP","UP","SP",0,0,7
"397",10933692,"lottery","trial",18668.9999999761,8,"right",12,"15soloseacaso.png","12.png",1,"UP","SP","SP",0,0,12
"399",10933692,"lottery","trial",2200.79999999993,9,"left",10,"10.png","15soloseacaso.png",0,"SP","UP","SP",0,0,10
"401",10933692,"lottery","trial",3348.09999999998,10,"left",8,"8.png","15soloseacaso.png",0,"SP","UP","SP",0,0,8
"403",10933692,"lottery","trial",3818.49999992846,11,"right",11,"15soloseacaso.png","11.png",0,"UP","SP","SP",0,0,11
"405",10933692,"lottery","trial",1727.59999997617,12,"right",2,"15soloseacaso.png","2.png",0,"UP","SP","SP",0,0,2
"407",10933692,"lottery","trial",14708.3999999762,13,"left",15,"15.png","15soloseacaso.png",1,"SP","UP","SP",0,0,15
"409",10933692,"lottery","trial",16923.3,14,"right",14,"15soloseacaso.png","14.png",1,"UP","SP","SP",0,0,14
"411",10933692,"lottery","trial",2922,15,"left",5,"5.png","15soloseacaso.png",0,"SP","UP","SP",0,0,5
